q,age_group,sex,cigsmok,N,wtN
Q3-2020,40,male,0,159,182.884246
Q3-2020,40,male,1,25,36.755434
Q3-2020,40,female,0,164,189.173903
Q3-2020,40,female,1,31,37.066598
Q3-2020,45,male,0,162,170.076555
Q3-2020,45,male,1,22,24.69756
Q3-2020,45,female,0,164,148.597702
Q3-2020,45,female,1,16,16.187547
Q3-2020,50,male,0,199,194.505409
Q3-2020,50,male,1,27,25.544836
Q3-2020,50,female,0,235,230.119938
Q3-2020,50,female,1,34,34.204597
Q3-2020,55,male,0,200,166.913377
Q3-2020,55,male,1,28,28.392342
Q3-2020,55,female,0,228,166.839583
Q3-2020,55,female,1,33,25.843793
Q3-2020,60,male,0,208,161.625407
Q3-2020,60,male,1,16,13.996143
Q3-2020,60,female,0,213,158.942276
Q3-2020,60,female,1,28,22.674844
Q3-2020,65,male,0,548,482.315606
Q3-2020,65,male,1,42,40.913085
Q3-2020,65,female,0,668,568.361419999999
Q3-2020,65,female,1,60,49.253077
Q4-2020,18,male,0,54,44.338515
Q4-2020,18,male,1,15,14.992891
Q4-2020,18,female,0,75,57.118918
Q4-2020,18,female,1,17,13.806622
Q4-2020,20,male,0,160,154.32763
Q4-2020,20,male,1,51,52.51091
Q4-2020,20,female,0,214,147.202884
Q4-2020,20,female,1,57,36.660602
Q4-2020,25,male,0,124,116.332183
Q4-2020,25,male,1,36,36.260797
Q4-2020,25,female,0,159,136.948028
Q4-2020,25,female,1,40,36.83935
Q4-2020,30,male,0,216,207.526084
Q4-2020,30,male,1,58,60.18229
Q4-2020,30,female,0,267,212.174456
Q4-2020,30,female,1,51,34.998433
Q4-2020,35,male,0,140,137.296107
Q4-2020,35,male,1,31,30.256915
Q4-2020,35,female,0,175,135.180852
Q4-2020,35,female,1,44,38.86298
Q4-2020,40,male,0,179,167.547404
Q4-2020,40,male,1,45,51.474057
Q4-2020,40,female,0,250,180.26377
Q4-2020,40,female,1,41,31.724466
Q4-2020,45,male,0,181,137.31784
Q4-2020,45,male,1,29,19.446078
Q4-2020,45,female,0,182,139.978102
Q4-2020,45,female,1,31,27.015
Q4-2020,50,male,0,279,213.196241
Q4-2020,50,male,1,46,42.697518
Q4-2020,50,female,0,293,222.476643
Q4-2020,50,female,1,35,24.157485
Q4-2020,55,male,0,181,138.495238
Q4-2020,55,male,1,33,30.54811
